state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2
Odisha,2025,10832023.0,62137.0,43153.0,6.0,False,2025,False,False,0.5736416918612525,69.44815488356375,0.009656082527318668,1.23496204323945,68693.0,-9.543912771315854,55333.0
Odisha,2026(upto June),4884733.0,17977.0,12577.0,1.0,True,2026,False,False,0.3680242093068342,69.96161762251766,0.00556266340323747,0.5569098077394378,,,
Puducherry,2022,103037.0,0.0,0.0,0.0,False,2022,False,False,0.0,,,0.783622840107082,,,
Puducherry,2023,147431.0,6.0,0.0,0.0,False,2023,False,False,0.004069700402222057,0.0,0.0,1.1212506084205403,0.0,inf,
Puducherry,2024,165198.0,4.0,3.0,0.0,False,2024,False,False,0.002421336820058354,75.0,0.0,1.256373205159406,6.0,-33.33333333333333,3.0
Puducherry,2025,166891.0,17.0,7.0,0.0,False,2025,False,False,0.010186289254663224,41.17647058823529,0.0,1.2692489048430275,4.0,325.0,5.0
Puducherry,2026(upto June),74883.0,10.0,6.0,0.0,True,2026,False,False,0.013354165832031303,60.0,0.0,0.5695044414699441,,,
Punjab,2022,2942145.0,119.0,8.0,2.0,False,2022,False,False,0.0040446680907977005,6.722689075630252,1.680672268907563,1.1606916087079298,,,
Punjab,2023,2823429.0,75.0,7.0,0.0,False,2023,False,False,0.002656344466250081,9.333333333333334,0.0,1.1138575250650875,119.0,-36.97478991596639,
Punjab,2024,2842710.0,379.0,33.0,0.0,False,2024,False,False,0.013332348357729068,8.70712401055409,0.0,1.1214639805278528,75.0,405.33333333333337,97.0
Punjab,2025,2823401.0,420.0,10.0,0.0,False,2025,False,False,0.01487567653337234,2.380952380952381,0.0,1.1138464789184686,379.0,10.817941952506596,227.0
Punjab,2026(upto June),1242418.0,95.0,6.0,0.0,True,2026,False,False,0.007646379881811114,6.315789473684211,0.0,0.4901404067806613,,,
Rajasthan,2022,10339992.0,1565.0,112.0,1.0,False,2022,False,False,0.01513540822855569,7.156549520766774,0.06389776357827476,1.086698468350923,,,
Rajasthan,2023,10085307.0,2263.0,248.0,0.0,False,2023,False,False,0.022438583178479344,10.95890410958904,0.0,1.059931929323431,1565.0,44.60063897763578,
Rajasthan,2024,10558402.0,2213.0,665.0,1.0,False,2024,False,False,0.02095961112297107,30.049706281066424,0.045187528242205156,1.1096526265816573,2263.0,-2.209456473707468,1914.0
Rajasthan,2025,11935188.0,1756.0,689.0,0.0,False,2025,False,False,0.014712797150744503,39.2369020501139,0.0,1.2543482160412036,2213.0,-20.650700406687754,2238.0
Rajasthan,2026(upto June),4656369.0,224.0,38.0,0.0,True,2026,False,False,0.004810615309912079,16.964285714285715,0.0,0.48936875970278504,,,
Sikkim,2022,7920.0,8.0,3.0,0.0,False,2022,False,False,0.10101010101010101,37.5,0.0,0.5833566577788253,,,
Sikkim,2023,9743.0,6.0,1.0,0.0,False,2023,False,False,0.06158267474083958,16.666666666666664,0.0,0.7176318076690776,8.0,-25.0,
Sikkim,2024,21985.0,7.0,2.0,0.0,False,2024,False,False,0.03183989083466,28.57142857142857,0.0,1.6193303183418528,6.0,16.666666666666664,7.0
Sikkim,2025,19202.0,14.0,5.0,0.0,False,2025,False,False,0.07290907197166961,35.714285714285715,0.0,1.4143452705390156,7.0,100.0,6.5
Sikkim,2026(upto June),9033.0,9.0,1.0,0.0,True,2026,False,False,0.09963467286615742,11.11111111111111,0.0,0.6653359456712284,,,
Tamil Nadu,2022,11274448.0,354.0,71.0,0.0,False,2022,False,False,0.003139843298758396,20.056497175141246,0.0,1.0263474234596366,,,
Tamil Nadu,2023,12649263.0,385.0,84.0,0.0,False,2023,False,False,0.0030436555868907146,21.818181818181817,0.0,1.1515010303576114,354.0,8.757062146892656,
Tamil Nadu,2024,12646221.0,347.0,96.0,0.0,False,2024,False,False,0.002743902704214959,27.6657060518732,0.0,1.1512241078100807,385.0,-9.87012987012987,369.5
Tamil Nadu,2025,12664972.0,324.0,106.0,2.0,False,2025,False,False,0.0025582370020241657,32.71604938271605,0.6172839506172839,1.1529310685887628,347.0,-6.628242074927954,366.0
